t x y
1.84 751 117.524
1.84667 752 113.104
1.85333 753 108.674
1.86 754 104.236
1.86667 755 99.7888
1.87333 756 95.3337
1.88 757 90.8708
1.88667 758 86.4007
1.89333 759 81.9236
1.9 760 77.4401
1.90667 761 72.9505
1.91333 762 68.4552
1.92 763 63.9546
1.92667 764 59.4492
1.93333 765 54.9393
1.94 766 50.4253
1.94667 767 45.9077
1.95333 768 41.3868
1.96 769 36.8631
1.96667 770 32.337
1.97333 771 27.8088
1.98 772 23.279
1.98667 773 18.748
1.99333 774 14.2162
2 775 9.684
